Gene_ID	Annotation
C1G02475.1	GO:0005634
C1G02500.1	GO:0046686
C1G02500.1	GO:0009651
C1G02500.1	GO:0009651
C1G02500.1	GO:0005886
C1G02500.1	GO:0016020
C1G02500.1	GO:0005829
C1G02500.1	GO:0005618
C1G02500.1	GO:0005737
C1G02520.1	GO:0009506
C1G02520.1	GO:0005886
C1G02520.1	GO:0005886
C1G02520.1	GO:0005634
C1G02530.1	GO:0005886
C1G02540.1	GO:0005737
C1G02550.1	GO:0009507
C1G02560.1	GO:0009941
C1G02560.1	GO:0009570
C1G02560.1	GO:0009532
C1G02560.1	GO:0009570
C1G02560.1	GO:0009941
C1G02560.1	GO:0009579
C1G02560.1	GO:0009570
C1G02560.1	GO:0009941
C1G02560.1	GO:0009570
C1G02560.1	GO:0009941
C1G02560.1	GO:0009941
C1G02560.1	GO:0009507
C1G02560.1	GO:0009941
C1G02560.1	GO:0009570
C1G02560.1	GO:0009532
C1G02560.1	GO:0009941
C1G02560.1	GO:0009941
C1G02560.1	GO:0009532
C1G02560.1	GO:0009941
C1G02560.1	GO:0009570
C1G02560.1	GO:0009941
C1G02560.1	GO:0009570
C1G02560.1	GO:0009570
C1G02560.1	GO:0009570
C1G02560.1	GO:0009570
C1G02560.1	GO:0009570
C1G02560.1	GO:0009570
C1G02560.1	GO:0009941
C1G02560.1	GO:0009507
C1G02560.1	GO:0009941
C1G02575.1	GO:0005739
C1G02580.1	GO:0005634
C1G02590.1	GO:0005737
C1G02610.1	GO:0005737
C1G02640.1	GO:0005576
C1G02640.1	GO:0009505
C1G02650.1	GO:0005634
C1G02660.1	GO:0005576
C1G02670.1	GO:0005634
C1G02680.1	GO:0005634
C1G02690.2	GO:0005737
C1G02720.1	GO:0005794
C1G02720.1	GO:0005794
C1G02730.1	GO:0005794
C1G02730.1	GO:0005794
C1G02740.1	GO:0005634
C1G02750.1	GO:0005634
C1G02770.1	GO:0005634
C1G02780.1	GO:0022626
C1G02780.1	GO:0022626
C1G02780.1	GO:0005886
C1G02780.1	GO:0005737
C1G02780.1	GO:0009506
C1G02780.1	GO:0022626
C1G02780.1	GO:0005730
C1G02780.1	GO:0005730
C1G02780.1	GO:0005829
C1G02780.1	GO:0016020
C1G02780.1	GO:0022626
C1G02790.1	GO:0005576
C1G02800.1	GO:0005576
C1G02810.1	GO:0005576
C1G02813.1	GO:0005576
C1G02816.1	GO:0005773
C1G02816.1	GO:0005774
C1G02816.1	GO:0005576
C1G02816.1	GO:0005774
C1G02816.1	GO:0005773
C1G02816.1	GO:0005774
C1G02820.1	GO:0009507
C1G02830.1	GO:0009507
C1G02840.1	GO:0005634
C1G02850.4	GO:0005576
C1G02860.1	GO:0005634
C1G02870.1	GO:0005634
C1G02880.3	GO:0005737
C1G02900.1	GO:0005576
C1G02910.1	GO:0009507
C1G02910.1	GO:0009507
C1G02920.1	GO:0005773
C1G02920.1	GO:0009651
C1G02920.1	GO:0005737
C1G02920.1	GO:0042742
C1G02920.1	GO:0005507
C1G02920.1	GO:0005773
C1G02920.1	GO:0046686
C1G02920.1	GO:0009651
C1G02920.1	GO:0043295
C1G02920.1	GO:0042742
C1G02920.1	GO:0046686
C1G02930.1	GO:0043295
C1G02930.1	GO:0005618
C1G02930.1	GO:0005829
C1G02930.1	GO:0005773
C1G02930.1	GO:0005507
C1G02930.1	GO:0042742
C1G02930.1	GO:0046686
C1G02930.1	GO:0046686
C1G02930.1	GO:0042742
C1G02930.1	GO:0009651
C1G02930.1	GO:0005773
C1G02930.1	GO:0005737
C1G02930.1	GO:0009651
C1G02930.1	GO:0009506
C1G02940.1	GO:0005737
C1G02950.2	GO:0005737
C1G02960.2	GO:0005634
C1G02965.1	GO:0009507
C1G02970.1	GO:0005634
C1G02980.1	GO:0009941
C1G02980.1	GO:0009941
C1G02980.1	GO:0009941
C1G02980.1	GO:0009941
C1G02990.3	GO:0005634
